CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,_count,_sum,_mean,class,time
0600200011068,06,002,0001,1068,3051.0,1778.4723100900007,0.5829145559128157,Depth,11400
0600200010708,06,002,0001,0708,5505.0,3246.893575509994,0.5898080972770199,Depth,11400
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,11400
0600200010318,06,002,0001,0318,7186.0,1944.8837256499978,0.2706490016212076,Depth,11400
0600200010680,06,002,0001,0680,290.0,63.32589152000001,0.21836514317241384,Depth,11400
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,11400
0600200010746,06,002,0001,0746,147.0,68.77240319000005,0.46783947748299354,Depth,11400
0600200010750,06,002,0001,0750,1624.0,795.04707909,0.4895610092918719,Depth,11400
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,11400
0600200010816,06,002,0001,0816,282.0,245.52124386000003,0.8706427087234043,Depth,11400
0600200011123,06,002,0001,1123,606.0,429.0929739900001,0.7080742145049507,Depth,11400
0600200011227,06,002,0001,1227,48.0,12.514897140000002,0.26072702375000006,Depth,11400
0600200011265,06,002,0001,1265,6421.0,2817.689374029997,0.438824073201993,Depth,11400
060020001127A,06,002,0001,127A,5528.0,2436.8903339599983,0.44082676084659883,Depth,11400
0600200010801,06,002,0001,0801,1425.0,1231.6332575500007,0.8643040403859654,Depth,11400
0600200010835,06,002,0001,0835,546.0,153.69097597999965,0.28148530399267335,Depth,11400
0600200010924,06,002,0001,0924,155.0,59.57358679,0.38434572122580646,Depth,11400
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,11400
0600200011462,06,002,0001,1462,3932.0,2441.5554632000008,0.6209449296032555,Depth,11400
0600200010322,06,002,0001,0322,2.0,0.02032314,0.01016157,Depth,11400
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,11400
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,11400
0600200011513,06,002,0001,1513,9122.0,2986.5045063200105,0.32739580205218266,Depth,11400
0600200011528,06,002,0001,1528,161.0,7.026965110000001,0.04364574602484472,Depth,11400
0600200011301,06,002,0001,1301,1316.0,1957.0832245799998,1.4871453074316108,Depth,11400
0600200011053,06,002,0001,1053,811.0,453.88730868000016,0.5596637591615292,Depth,11400
0600200011072,06,002,0001,1072,828.0,825.0189747899991,0.9963997280072453,Depth,11400
0600200010731,06,002,0001,0731,8313.0,1520.6053547999988,0.18291896485023443,Depth,11400
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,11400
0600200011710,06,002,0001,1710,220.0,3.3516169699999985,0.015234622590909084,Depth,11400
060020001006A,06,002,0001,006A,10.0,5.748959449999999,0.574895945,Depth,11400
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,11400
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,11400
0600200011636,06,002,0001,1636,262.0,113.64951466999996,0.4337767735496182,Depth,11400
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,11400
0600200011640,06,002,0001,1640,592.0,201.0060389399999,0.33953722793918906,Depth,11700
0600200011617,06,002,0001,1617,2757.0,2472.5005527699946,0.8968083252702193,Depth,11700
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,11700
0600200010676,06,002,0001,0676,2927.0,1350.0014357499979,0.461223585838742,Depth,11700
0600200010727,06,002,0001,0727,2343.0,857.2055234799977,0.3658580979428074,Depth,11700
0600200011142,06,002,0001,1142,2649.0,749.2123762099998,0.2828283790902226,Depth,11700
0600200010411,06,002,0001,0411,3697.0,3125.2142009699946,0.8453378958533931,Depth,11700
0600200011481,06,002,0001,1481,181.0,134.65170159000004,0.7439320529834257,Depth,11700
0600200011068,06,002,0001,1068,3056.0,1778.616364100001,0.5820079725458118,Depth,11700
0600200010708,06,002,0001,0708,5510.0,3246.881605389989,0.5892707087822122,Depth,11700
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,11700
0600200010318,06,002,0001,0318,7186.0,1944.9705669399975,0.27066108640968517,Depth,11700
0600200010680,06,002,0001,0680,290.0,63.32589152000001,0.21836514317241384,Depth,11700
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,11700
0600200010746,06,002,0001,0746,147.0,68.77617819,0.467865157755102,Depth,11700
0600200010750,06,002,0001,0750,1625.0,795.0956520699998,0.4892896320430768,Depth,11700
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,11700
0600200010816,06,002,0001,0816,282.0,245.52337296000002,0.8706502587234043,Depth,11700
0600200011123,06,002,0001,1123,611.0,431.0245740700004,0.705441201423896,Depth,11700
0600200011227,06,002,0001,1227,48.0,12.514897140000002,0.26072702375000006,Depth,11700
0600200011265,06,002,0001,1265,6436.0,2818.006065339998,0.437850538430702,Depth,11700
060020001127A,06,002,0001,127A,5550.0,2437.3464717000024,0.4391615264324329,Depth,11700
0600200010801,06,002,0001,0801,1425.0,1231.5935757200007,0.8642761934877198,Depth,11700
0600200010835,06,002,0001,0835,546.0,153.69097597999965,0.28148530399267335,Depth,11700
0600200010924,06,002,0001,0924,155.0,59.57358679,0.38434572122580646,Depth,11700
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,11700
0600200011462,06,002,0001,1462,3932.0,2441.557050700001,0.6209453333418111,Depth,11700
0600200010322,06,002,0001,0322,2.0,0.02032314,0.01016157,Depth,11700
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,11700
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,11700
0600200011513,06,002,0001,1513,9188.0,3004.0725691000043,0.32695609154331784,Depth,11700
0600200011528,06,002,0001,1528,407.0,19.69071536,0.04838013601965602,Depth,11700
0600200011301,06,002,0001,1301,1316.0,1957.1176292799996,1.4871714508206684,Depth,11700
0600200011053,06,002,0001,1053,811.0,453.88730868000016,0.5596637591615292,Depth,11700
0600200011072,06,002,0001,1072,828.0,825.0189747899991,0.9963997280072453,Depth,11700
0600200010731,06,002,0001,0731,8380.0,1522.811049640003,0.1817196956610982,Depth,11700
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,11700
0600200011710,06,002,0001,1710,241.0,3.7950511999999996,0.015747100414937758,Depth,11700
060020001006A,06,002,0001,006A,10.0,5.748959449999999,0.574895945,Depth,11700
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,11700
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,11700
0600200011636,06,002,0001,1636,262.0,113.65689217,0.4338049319465649,Depth,11700
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,11700
0600200011640,06,002,0001,1640,0.0,0.0,,Depth,1200
0600200011617,06,002,0001,1617,0.0,0.0,,Depth,1200
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,1200
0600200010676,06,002,0001,0676,0.0,0.0,,Depth,1200
0600200010727,06,002,0001,0727,0.0,0.0,,Depth,1200
0600200011142,06,002,0001,1142,0.0,0.0,,Depth,1200
0600200010411,06,002,0001,0411,0.0,0.0,,Depth,1200
0600200011481,06,002,0001,1481,0.0,0.0,,Depth,1200
0600200011068,06,002,0001,1068,0.0,0.0,,Depth,1200
0600200010708,06,002,0001,0708,0.0,0.0,,Depth,1200
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,1200
0600200010318,06,002,0001,0318,0.0,0.0,,Depth,1200
0600200010680,06,002,0001,0680,0.0,0.0,,Depth,1200
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,1200
0600200010746,06,002,0001,0746,0.0,0.0,,Depth,1200
0600200010750,06,002,0001,0750,0.0,0.0,,Depth,1200
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,1200
0600200010816,06,002,0001,0816,0.0,0.0,,Depth,1200
0600200011123,06,002,0001,1123,0.0,0.0,,Depth,1200
0600200011227,06,002,0001,1227,0.0,0.0,,Depth,1200
0600200011265,06,002,0001,1265,0.0,0.0,,Depth,1200
060020001127A,06,002,0001,127A,0.0,0.0,,Depth,1200
0600200010801,06,002,0001,0801,0.0,0.0,,Depth,1200
0600200010835,06,002,0001,0835,0.0,0.0,,Depth,1200
0600200010924,06,002,0001,0924,0.0,0.0,,Depth,1200
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,1200
0600200011462,06,002,0001,1462,0.0,0.0,,Depth,1200
0600200010322,06,002,0001,0322,0.0,0.0,,Depth,1200
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,1200
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,1200
0600200011513,06,002,0001,1513,0.0,0.0,,Depth,1200
0600200011528,06,002,0001,1528,0.0,0.0,,Depth,1200
0600200011301,06,002,0001,1301,0.0,0.0,,Depth,1200
0600200011053,06,002,0001,1053,0.0,0.0,,Depth,1200
0600200011072,06,002,0001,1072,0.0,0.0,,Depth,1200
0600200010731,06,002,0001,0731,0.0,0.0,,Depth,1200
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,1200
0600200011710,06,002,0001,1710,0.0,0.0,,Depth,1200
060020001006A,06,002,0001,006A,0.0,0.0,,Depth,1200
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,1200
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,1200
0600200011636,06,002,0001,1636,0.0,0.0,,Depth,1200
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,1200
0600200011640,06,002,0001,1640,592.0,201.0106424499999,0.33954500413851335,Depth,12000
0600200011617,06,002,0001,1617,2757.0,2472.5179113699946,0.8968146214617319,Depth,12000
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,12000
0600200010676,06,002,0001,0676,2927.0,1350.0016941399977,0.4612236741168424,Depth,12000
