ageb,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC
0892,4.88505747126437,21.5148698884758,15.5873493975904,0.0,0.0377358490566038,0.0,0.867924528301887,2.33962264150943,21.5094339622642,5.88679245283019,8.0
091A,1.03092783505155,4.78547854785479,16.0054719562244,0.0,0.0,0.136612021857924,0.819672131147541,0.136612021857924,2.73224043715847,2.18579234972678,4.91803278688525
0924,1.51515151515152,3.67504835589942,15.2960526315789,0.0,0.0,0.0,0.0,0.164473684210526,2.30263157894737,0.986842105263158,2.30263157894737
0939,6.36942675159236,30.0773694390716,15.1033386327504,0.0,0.0,0.317460317460317,2.61904761904762,2.3015873015873,26.1111111111111,7.46031746031746,15.4761904761905
0943,2.7027027027027,43.6458333333333,20.048309178744,0.0,0.0,0.0,3.30378726833199,5.88235294117647,34.085414987913,5.80177276390008,24.0934730056406
0958,2.42718446601942,28.0714817572599,22.5748502994012,0.0,0.0,0.0603864734299517,1.26811594202899,3.44202898550725,23.3091787439614,3.5024154589372,15.036231884058
0962,4.93827160493827,32.4062877871826,24.1758241758242,0.0,0.183318056828598,0.0916590284142988,2.65811182401467,3.11640696608616,28.8725939505041,4.12465627864345,23.0698529411765
0977,0.381679389312977,19.629057187017,18.6883343006384,0.0,0.0590318772136954,0.472255017709563,4.48642266824085,4.72255017709563,20.6021251475797,5.78512396694215,17.2373081463991
0981,15.0,6.43564356435644,24.1525423728814,0.0,0.0,0.0,0.0,0.0,0.847457627118644,1.69491525423729,3.8135593220339
0996,4.39024390243902,33.3673469387755,9.52380952380952,0.235294117647059,1.96078431372549,0.0,2.58418167580266,6.35294117647059,31.0588235294118,3.76470588235294,27.843137254902
1000,2.55474452554745,34.375,16.3333333333333,0.0,0.066711140760507,0.0,1.73448965977318,6.00400266844563,38.7591727818546,3.66911274182789,29.0860573715811
1015,6.33333333333333,30.4347826086957,17.0188463735009,0.0,0.914808461978273,0.857632933104631,3.43053173241853,6.28930817610063,39.1080617495712,6.28930817610063,23.7850200114351
102A,2.91595197255575,18.6762945171017,19.0676691729323,0.0,0.240891297801867,0.301114122252334,0.0602228244504667,3.67359229147847,25.5947003914484,2.6196928635953,27.7928334838904
1053,4.25531914893617,1.21457489878543,19.6141479099678,0.0,0.0,0.0,0.0,0.0,2.89389067524116,0.0,3.21543408360129
1068,2.42914979757085,4.45269016697588,17.1239837398374,0.0,0.0,0.0,0.0,0.0,3.25038090401219,0.457084814626714,2.08227526663281
1072,2.29885057471264,4.72343070229956,18.5972369819341,0.0,0.0,0.0,0.0,0.26638252530634,4.20884389984017,1.54501864677677,2.71710175812467
1087,10.6382978723404,19.9963970455774,11.5241635687732,0.0,0.250312891113892,0.0,0.876095118898623,1.50187734668335,21.2765957446809,16.0804020100502,14.2678347934919
1091,2.75590551181102,18.8837920489297,20.1961915753029,0.115406809001731,1.73110213502597,3.46220427005193,3.92383150605886,5.59723023658396,27.1206001154068,5.59723023658396,26.6589728793999
